timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total
20230801T0000,21.140245,0
20230801T0100,21.450245,0
20230801T0200,21.380245,0
20230801T0300,21.030245,0
20230801T0400,20.440245,0
20230801T0500,19.570246,0.5
20230801T0600,17.890245,0.9
20230801T0700,16.590246,1.9
20230801T0800,16.670246,2.7
20230801T0900,17.880245,1.6
20230801T1000,18.450245,1.3
20230801T1100,18.870245,1
20230801T1200,19.840246,1.2
20230801T1300,20.450245,0.3
20230801T1400,20.890245,0
20230801T1500,21.170246,0
20230801T1600,21.220245,0.1
20230801T1700,21.140245,0
20230801T1800,20.460245,0
20230801T1900,19.050245,0
20230801T2000,17.920246,0
20230801T2100,16.540245,0
20230801T2200,16.110247,0
20230801T2300,15.550245,0
20230802T0000,15.580245,0
20230802T0100,15.180245,0
20230802T0200,15.920245,0
20230802T0300,16.160246,0.4
20230802T0400,16.270247,0.5
20230802T0500,16.170246,0.3
20230802T0600,16.590246,0.6
20230802T0700,17.250246,0.8
20230802T0800,19.030245,0.3
20230802T0900,21.510244,0
20230802T1000,23.900246,0
20230802T1100,25.760244,0
20230802T1200,26.970245,0
20230802T1300,27.540245,0
20230802T1400,27.630245,0
20230802T1500,27.620245,0
20230802T1600,26.090246,0.4
20230802T1700,24.320246,0.3
20230802T1800,22.510244,0.5
20230802T1900,21.750246,0.4
20230802T2000,20.780245,0.2
20230802T2100,20.120245,0
20230802T2200,19.360245,0
20230802T2300,19.220245,0
20230803T0000,19.190245,0
20230803T0100,18.850245,0
20230803T0200,18.510244,0
20230803T0300,18.150246,0
20230803T0400,17.870245,0
20230803T0500,17.870245,0
20230803T0600,18.360245,0
20230803T0700,19.020245,0
20230803T0800,19.740246,0
20230803T0900,20.400246,0
20230803T1000,21.160246,0
20230803T1100,21.510244,0
20230803T1200,22.140245,0
20230803T1300,22.600245,0
20230803T1400,23.210245,0
20230803T1500,23.160246,0
20230803T1600,23.030245,0
20230803T1700,22.130245,0
20230803T1800,20.990246,0
20230803T1900,18.730246,0
20230803T2000,19.020245,0
20230803T2100,16.960245,0
20230803T2200,15.480246,0
20230803T2300,15.200245,0
20230804T0000,15.160245,0
20230804T0100,15.790245,0
20230804T0200,15.720245,0
20230804T0300,16.030245,0
20230804T0400,16.070246,0
20230804T0500,16.120245,0
20230804T0600,16.270247,0
20230804T0700,16.740246,0.5
20230804T0800,17.340246,0.6
20230804T0900,18.230246,0.2
20230804T1000,18.560246,0.1
20230804T1100,19.180244,0
20230804T1200,19.690245,0
20230804T1300,19.580246,0.7
20230804T1400,19.500246,0.5
