timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total
20231001T0000,11.820246,0
20231001T0100,11.030245,0
20231001T0200,10.710245,0
20231001T0300,10.150246,0
20231001T0400,9.430245,0
20231001T0500,9.100245,0
20231001T0600,9.660245,0
20231001T0700,12.320246,0
20231001T0800,15.520246,0
20231001T0900,18.180244,0
20231001T1000,20.200245,0
20231001T1100,22.170246,0
20231001T1200,23.780245,0
20231001T1300,24.670246,0
20231001T1400,25.180244,0
20231001T1500,25.220245,0
20231001T1600,24.210245,0
20231001T1700,23.400246,0
20231001T1800,20.990246,0
20231001T1900,17.160246,0
20231001T2000,15.480246,0
20231001T2100,14.430245,0
20231001T2200,14.450245,0
20231001T2300,13.870245,0
20231002T0000,13.080245,0
20231002T0100,12.700245,0
20231002T0200,11.940246,0
20231002T0300,11.460245,0
20231002T0400,11.120245,0
20231002T0500,10.640245,0
20231002T0600,10.820246,0
20231002T0700,13.510245,0
20231002T0800,16.490246,0
20231002T0900,19.370245,0
20231002T1000,22.020245,0
20231002T1100,24.460245,0
20231002T1200,26.120245,0
20231002T1300,27.290245,0
20231002T1400,27.850245,0
20231002T1500,27.730246,0
20231002T1600,26.410246,0
20231002T1700,22.060246,0
20231002T1800,19.310246,0
20231002T1900,17.820246,0
20231002T2000,16.760244,0
20231002T2100,15.830245,0
20231002T2200,15.610246,0
20231002T2300,14.910245,0
20231003T0000,14.670245,0
20231003T0100,14.580245,0
20231003T0200,14.470245,0
20231003T0300,14.430245,0
20231003T0400,14.450245,0
20231003T0500,14.470245,0
20231003T0600,14.910245,0
20231003T0700,17.350245,0
20231003T0800,20.220245,0
20231003T0900,22.570246,0
20231003T1000,24.110245,0
20231003T1100,25.000246,0
20231003T1200,25.610245,0
20231003T1300,25.220245,0
20231003T1400,23.800245,0
20231003T1500,22.930244,0
20231003T1600,20.750246,0.2
20231003T1700,18.990246,0.2
20231003T1800,17.980246,0
20231003T1900,16.460245,0
20231003T2000,15.840245,0
20231003T2100,14.800245,0
20231003T2200,14.070246,0
20231003T2300,13.190246,0
20231004T0000,12.980246,0
20231004T0100,13.440246,0
20231004T0200,13.590245,0
20231004T0300,12.940246,0
20231004T0400,12.570246,0
20231004T0500,11.970245,0
20231004T0600,10.580245,0
20231004T0700,12.340245,0
20231004T0800,14.150246,0
20231004T0900,16.130245,0
20231004T1000,17.730246,0
20231004T1100,19.020245,0
20231004T1200,19.450245,0
20231004T1300,19.920246,0
20231004T1400,19.900246,0
20231004T1500,19.550245,0
20231004T1600,18.560246,0
20231004T1700,16.010246,0
20231004T1800,13.610246,0
20231004T1900,12.900246,0
20231004T2000,12.350245,0
20231004T2100,11.280245,0
20231004T2200,10.200245,0
20231004T2300,9.690246,0
20231005T0000,9.620245,0
20231005T0100,9.380245,0
20231005T0200,9.170245,0
20231005T0300,9.200245,0
20231005T0400,9.820246,0
20231005T0500,10.000245,0
20231005T0600,10.130245,0
20231005T0700,10.700245,0
20231005T0800,12.0602455,0
20231005T0900,14.040245,0
20231005T1000,16.190247,0
20231005T1100,17.730246,0
20231005T1200,18.880245,0
20231005T1300,19.580246,0
20231005T1400,19.620245,0
20231005T1500,19.210245,0
20231005T1600,18.240246,0
20231005T1700,16.220245,0
20231005T1800,14.270246,0
20231005T1900,12.680245,0
20231005T2000,10.850245,0
20231005T2100,9.510245,0
20231005T2200,8.930245,0
20231005T2300,8.150246,0
20231006T0000,7.960245,0
20231006T0100,7.730245,0
20231006T0200,7.1002455,0
